train_578,clear primary
train_10565,clear primary
train_2574,partly_cloudy primary
train_7963,clear primary
train_39041,clear primary
train_15540,clear primary
train_20052,agriculture clear primary
train_11310,clear primary water
train_32238,clear primary
train_31705,clear primary
train_22840,artisinal_mine bare_ground clear primary road water
train_25650,agriculture clear habitation primary road
train_18329,cloudy
train_981,clear primary
train_14735,clear primary water
train_2912,agriculture partly_cloudy primary water
train_35460,haze primary
train_39926,cloudy
train_7834,clear primary
train_2934,clear primary
train_3789,partly_cloudy primary
train_25320,clear primary
train_19232,bare_ground clear primary road
train_2683,clear primary
train_14668,agriculture partly_cloudy primary
train_39018,clear primary
train_32248,agriculture haze primary road
train_17782,agriculture partly_cloudy primary
train_4682,agriculture bare_ground partly_cloudy road
train_26363,clear primary
train_21847,clear primary
train_25827,cloudy
train_22639,agriculture clear cultivation primary
train_5005,clear primary
train_26283,partly_cloudy primary
train_30977,agriculture clear primary road
train_14700,agriculture haze primary road
train_28011,agriculture haze primary
train_1630,partly_cloudy primary
train_11602,clear primary
train_2103,agriculture clear primary road
train_27480,clear primary road
train_21093,clear primary
train_23216,clear primary
train_11364,clear primary
train_35704,partly_cloudy primary water
train_8326,agriculture partly_cloudy primary road
train_36371,clear primary
train_9091,agriculture clear habitation primary
train_35523,clear primary water
train_36329,clear primary water
train_15138,haze primary
train_27283,clear primary
train_27475,clear primary
train_8929,clear primary
train_625,haze primary
train_10623,clear primary
train_17364,clear primary
train_7641,clear primary
train_38122,clear primary
train_16052,clear primary road
train_2085,clear primary water
train_12054,bare_ground clear road
train_10078,agriculture clear cultivation primary
train_1449,clear primary
train_34946,agriculture clear primary road
train_28410,clear primary
train_7711,clear primary
train_22835,clear primary
train_24069,clear primary
train_32323,agriculture clear habitation primary road
train_19714,clear primary
train_14504,agriculture clear primary water
train_28638,clear habitation primary road water
train_6209,agriculture clear cultivation primary
train_21799,clear primary
train_12659,agriculture habitation partly_cloudy primary road
train_37366,haze primary
train_25462,agriculture clear primary water
train_23611,clear habitation road
train_26956,clear primary
train_40015,clear primary
train_32602,partly_cloudy primary water
train_26364,agriculture partly_cloudy primary water
train_30923,clear primary
train_23133,agriculture clear cultivation primary water
train_15575,haze primary
train_35741,agriculture clear primary
train_27843,agriculture clear cultivation primary slash_burn
train_7758,clear primary
train_14445,clear primary
train_14370,partly_cloudy primary selective_logging
train_33642,clear primary
train_37082,clear primary
train_12324,clear primary
train_13834,partly_cloudy primary water
train_23348,agriculture clear primary
train_10752,clear primary
train_27178,haze primary
train_29999,agriculture clear cultivation primary road
train_18881,clear primary
train_2674,clear primary
train_6092,clear primary
